record_id,district_code,latitude,longitude,field_id,area_m2,crop_name,crop_type,season,agro_climatic_zone,soil_n,soil_p,soil_k,soil_ph,organic_carbon,soil_texture,soil_moisture_pct,groundwater_depth_m,avg_rainfall_mm,rainfall_mm,rainfall_30d_mm,rainfall_60d_mm,rainfall_effective_mm,avg_temp_c,temperature_avg_c,humidity_pct,et0_mm,kc_value,ndvi_mean,ndvi_max,ndvi_trend,ndvi_t1,ndvi_t2,ndvi_t3,ndvi_t4,ndvi_t5,ndvi_t6,evi_t1,evi_t2,ndwi_t1,ndwi_t2,sowing_day_of_year,growth_stage,irrigation_method,recommended_crop,yield_kg,water_required_m3,season_target
6567,KA023,8.88,80.17,FLD06567,19116,Turmeric,Spice,Kharif,Coastal,183,31,218,7.6,0.9,Sandy Clay,25,11.4,1599,1267,542,790,1138,29.7,29.7,73,6.4,1.09,0.64,0.71,0.024,0.59,0.57,0.63,0.66,0.66,0.71,0.49,0.49,0.28,0.28,152,Flowering,Drip,Turmeric,11359,0,Kharif
6568,HR046,29.84,87.08,FLD06568,18749,Turmeric,Spice,Kharif,Humid,312,36,240,6.9,0.67,Sandy,30,9.7,2260,1946,773,1358,1834,26.2,26.2,83,5.0,1.09,0.65,0.7,0.022,0.59,0.6,0.63,0.68,0.7,0.7,0.51,0.5,0.25,0.31,151,Reproductive,Drip,Turmeric,11335,0,Kharif
6569,RJ034,33.3,89.81,FLD06569,8643,Turmeric,Spice,Kharif,Mountain,306,39,206,6.8,0.81,Clay Loam,28,8.1,901,679,267,493,633,22.5,22.5,75,5.5,1.09,0.63,0.68,0.018,0.57,0.59,0.63,0.64,0.68,0.66,0.5,0.5,0.32,0.27,146,Boll formation,Drip,Turmeric,4849,0,Kharif
6570,HR017,12.33,78.15,FLD06570,14913,Turmeric,Spice,Kharif,Sub-Humid,195,44,189,6.2,0.74,Sandy Loam,37,12.4,1062,977,335,756,926,28.0,28.0,74,5.6,1.09,0.65,0.71,0.022,0.6,0.6,0.63,0.68,0.69,0.71,0.5,0.52,0.33,0.3,167,Tuber development,Sprinkler,Turmeric,8362,0,Kharif
6571,MH015,11.79,81.01,FLD06571,13832,Turmeric,Spice,Kharif,Plateau,288,35,238,7.5,0.54,Laterite,33,13.2,733,597,206,373,526,27.5,27.5,63,5.2,1.09,0.63,0.69,0.02,0.59,0.59,0.61,0.65,0.66,0.69,0.49,0.49,0.3,0.27,169,Tuber development,Surface,Turmeric,7493,0,Kharif
6572,RJ040,13.9,81.66,FLD06572,14392,Turmeric,Spice,Kharif,Arid,315,52,189,6.5,0.57,Clay,25,22.3,256,218,86,171,195,32.5,32.5,49,6.3,1.09,0.64,0.69,0.022,0.57,0.58,0.62,0.69,0.68,0.68,0.48,0.51,0.3,0.34,143,Rhizome development,Drip,Turmeric,11646,176,Kharif
6573,AP025,16.32,74.48,FLD06573,5391,Turmeric,Spice,Kharif,Arid,214,30,237,7.7,0.91,Clay,31,19.1,288,260,86,186,230,33.7,33.7,49,5.5,1.09,0.65,0.71,0.01,0.62,0.62,0.59,0.68,0.71,0.67,0.52,0.51,0.3,0.27,156,Mature,Drip,Turmeric,3558,0,Kharif
6574,AP040,10.67,89.52,FLD06574,9611,Turmeric,Spice,Kharif,Plateau,211,36,214,6.2,0.58,Clay,29,12.8,930,750,313,549,662,26.3,26.3,70,5.1,1.09,0.65,0.69,0.014,0.61,0.62,0.6,0.69,0.67,0.68,0.53,0.52,0.29,0.24,142,Bulbing,Sprinkler,Turmeric,5461,0,Kharif
6575,HR023,21.43,81.6,FLD06575,11608,Turmeric,Spice,Kharif,Arid,196,40,240,7.5,0.92,Clay,29,17.8,420,384,118,297,341,33.5,33.5,47,6.1,1.09,0.64,0.7,0.02,0.6,0.59,0.62,0.64,0.68,0.7,0.5,0.49,0.33,0.31,144,Tillering,Sprinkler,Turmeric,6551,0,Kharif
6576,GJ004,11.92,81.64,FLD06576,14346,Turmeric,Spice,Kharif,Coastal,190,34,183,7.6,0.91,Sandy,31,11.8,1670,1583,565,1138,1468,29.6,29.6,78,6.3,1.09,0.65,0.71,0.022,0.59,0.58,0.64,0.65,0.71,0.7,0.49,0.49,0.29,0.26,152,Rhizome development,Surface,Turmeric,7568,0,Kharif
6577,TN016,23.35,71.9,FLD06577,6538,Turmeric,Spice,Kharif,Plateau,230,31,231,5.8,0.93,Clay,20,13.2,738,695,248,438,611,28.5,28.5,69,6.1,1.09,0.63,0.71,0.02,0.58,0.57,0.6,0.64,0.71,0.68,0.49,0.48,0.29,0.31,151,Flowering,Surface,Turmeric,3410,0,Kharif
6578,AP046,24.53,70.58,FLD06578,19805,Turmeric,Spice,Kharif,Plateau,207,42,228,6.0,0.67,Clay,21,12.5,788,680,289,477,610,31.2,31.2,67,5.5,1.09,0.65,0.71,0.024,0.59,0.59,0.62,0.69,0.7,0.71,0.51,0.51,0.27,0.29,147,Tillering,Sprinkler,Turmeric,11481,0,Kharif
6579,KA034,10.1,84.24,FLD06579,5728,Turmeric,Spice,Kharif,Sub-Humid,314,39,206,7.3,0.68,Clay,26,9.6,1190,992,310,636,859,29.7,29.7,75,5.4,1.09,0.64,0.7,0.016,0.6,0.59,0.62,0.64,0.7,0.68,0.5,0.49,0.27,0.26,157,Tillering,Drip,Turmeric,3483,0,Kharif
6580,HR034,10.81,76.43,FLD06580,15863,Turmeric,Spice,Kharif,Arid,296,36,216,5.9,0.71,Loam,29,24.2,384,310,105,208,282,35.4,35.4,45,5.3,1.09,0.64,0.71,0.026,0.58,0.61,0.62,0.64,0.68,0.71,0.48,0.52,0.26,0.33,144,Fruiting,Drip,Turmeric,8747,0,Kharif
6581,RJ046,17.09,70.68,FLD06581,5871,Turmeric,Spice,Kharif,Coastal,282,49,211,6.5,0.55,Loam,21,11.5,1329,1012,398,608,923,28.3,28.3,78,6.2,1.09,0.65,0.72,0.024,0.6,0.59,0.64,0.66,0.7,0.72,0.52,0.49,0.33,0.3,155,Tuber bulking,Drip,Turmeric,3775,0,Kharif
6582,RJ011,18.65,71.41,FLD06582,13216,Turmeric,Spice,Kharif,Coastal,276,39,224,6.8,0.57,Sandy Clay,28,8.2,1859,1574,507,1141,1467,30.3,30.3,80,5.4,1.09,0.63,0.66,0.014,0.59,0.6,0.62,0.63,0.66,0.66,0.5,0.49,0.25,0.31,157,Reproductive,Sprinkler,Turmeric,7547,0,Kharif
6583,RJ015,15.45,78.81,FLD06583,16576,Turmeric,Spice,Kharif,Sub-Humid,230,51,209,7.3,0.77,Sandy Clay,37,8.3,1066,890,335,677,826,28.5,28.5,70,6.2,1.09,0.62,0.7,0.028,0.56,0.57,0.59,0.64,0.68,0.7,0.49,0.48,0.3,0.25,143,Tuber development,Sprinkler,Turmeric,9574,0,Kharif
6584,TN004,29.58,88.52,FLD06584,18238,Turmeric,Spice,Kharif,Mountain,297,51,203,7.3,0.62,Clay,27,9.7,1694,1384,498,1061,1271,18.9,18.9,83,6.0,1.09,0.63,0.71,0.02,0.57,0.57,0.6,0.65,0.71,0.67,0.5,0.49,0.3,0.25,159,Bearing,Sprinkler,Turmeric,11052,0,Kharif
6585,HR039,28.31,73.36,FLD06585,18788,Turmeric,Spice,Kharif,Humid,305,44,180,6.3,0.77,Clay,27,8.7,3082,2845,853,1870,2503,27.7,27.7,75,6.3,1.09,0.63,0.71,0.026,0.58,0.59,0.59,0.66,0.66,0.71,0.51,0.5,0.33,0.29,164,Vegetative,Sprinkler,Turmeric,10766,0,Kharif
6586,GJ039,23.58,82.53,FLD06586,11269,Turmeric,Spice,Kharif,Plateau,188,44,222,6.2,0.58,Sandy Clay,22,10.5,1061,956,307,631,901,27.1,27.1,72,5.8,1.09,0.65,0.7,0.018,0.61,0.58,0.62,0.68,0.7,0.7,0.52,0.49,0.29,0.31,168,Bulbing,Drip,Turmeric,6011,0,Kharif
6587,AP017,14.75,80.36,FLD06587,7127,Turmeric,Spice,Kharif,Semi-Arid,290,37,189,7.5,0.95,Sandy,38,12.9,551,470,165,346,440,30.5,30.5,63,6.2,1.09,0.64,0.69,0.014,0.6,0.6,0.63,0.69,0.67,0.67,0.51,0.49,0.32,0.3,148,Bearing,Drip,Turmeric,3834,0,Kharif
6588,TN032,10.87,85.3,FLD06588,16039,Turmeric,Spice,Kharif,Humid,199,41,193,7.2,0.68,Sandy,30,6.1,1394,1300,481,927,1180,27.3,27.3,75,5.7,1.09,0.65,0.71,0.018,0.62,0.62,0.63,0.64,0.68,0.71,0.54,0.52,0.32,0.27,145,Boll formation,Sprinkler,Turmeric,9564,0,Kharif
6589,HR013,25.88,81.69,FLD06589,16508,Turmeric,Spice,Kharif,Mountain,294,41,172,7.1,0.55,Clay,28,8.3,2426,2067,846,1340,1774,16.9,16.9,71,6.1,1.09,0.64,0.71,0.01,0.61,0.61,0.61,0.65,0.71,0.66,0.52,0.51,0.33,0.26,151,Grand growth,Surface,Turmeric,9005,0,Kharif
6590,MP030,26.07,79.77,FLD06590,13114,Turmeric,Spice,Kharif,Mountain,249,33,201,7.6,0.51,Sandy Clay,36,7.3,1196,995,433,737,894,23.3,23.3,65,6.2,1.09,0.63,0.7,0.012,0.6,0.58,0.59,0.64,0.7,0.66,0.5,0.5,0.29,0.27,166,Rhizome development,Surface,Turmeric,7665,0,Kharif
6591,MH005,27.71,74.33,FLD06591,10567,Turmeric,Spice,Kharif,Arid,277,30,238,6.3,0.82,Laterite,23,16.4,294,265,80,200,238,32.2,32.2,51,5.4,1.09,0.63,0.68,0.024,0.56,0.59,0.59,0.68,0.66,0.68,0.49,0.51,0.31,0.34,157,Grain filling,Drip,Turmeric,6356,0,Kharif
6592,MH036,11.52,73.92,FLD06592,17950,Turmeric,Spice,Kharif,Humid,193,44,174,6.9,0.57,Sandy,34,8.7,1376,1240,429,865,1150,26.7,26.7,84,6.0,1.09,0.65,0.71,0.028,0.57,0.62,0.6,0.69,0.7,0.71,0.5,0.51,0.35,0.33,153,Tuber bulking,Sprinkler,Turmeric,11284,0,Kharif
6593,UP022,9.79,80.32,FLD06593,10711,Turmeric,Spice,Kharif,Coastal,242,38,218,7.5,0.71,Sandy,23,6.9,2752,2328,880,1783,2059,29.9,29.9,80,6.2,1.09,0.64,0.7,0.026,0.57,0.6,0.65,0.65,0.68,0.7,0.48,0.5,0.34,0.25,170,Vegetative,Drip,Turmeric,6662,0,Kharif
6594,UP041,21.09,86.58,FLD06594,10849,Turmeric,Spice,Kharif,Plateau,286,39,187,7.8,0.58,Clay Loam,24,14.8,1288,981,416,588,845,31.1,31.1,70,4.9,1.09,0.64,0.71,0.022,0.6,0.59,0.59,0.66,0.71,0.71,0.52,0.49,0.31,0.32,140,Fruiting,Drip,Turmeric,6394,0,Kharif
6595,UP020,12.34,84.84,FLD06595,8578,Turmeric,Spice,Kharif,Sub-Humid,185,31,239,6.3,0.66,Clay,38,9.1,1117,920,279,694,821,28.6,28.6,69,5.7,1.09,0.64,0.71,0.03,0.56,0.6,0.63,0.67,0.69,0.71,0.49,0.5,0.32,0.3,157,Rhizome development,Sprinkler,Turmeric,4442,0,Kharif
6596,MP033,15.31,78.83,FLD06596,15070,Turmeric,Spice,Kharif,Plateau,320,48,217,6.7,0.75,Clay,37,12.2,693,562,222,431,521,26.1,26.1,63,5.2,1.09,0.64,0.68,0.014,0.61,0.57,0.64,0.65,0.66,0.68,0.54,0.49,0.3,0.34,165,Grain filling,Drip,Turmeric,9222,0,Kharif
6597,RJ013,16.57,75.82,FLD06597,8630,Turmeric,Spice,Kharif,Semi-Arid,211,42,232,7.4,0.92,Loam,21,11.6,741,595,237,456,545,28.5,28.5,59,5.9,1.09,0.66,0.7,0.014,0.61,0.62,0.65,0.69,0.7,0.68,0.51,0.54,0.29,0.32,157,Pod formation,Sprinkler,Turmeric,5094,0,Kharif
6598,MH045,19.66,86.19,FLD06598,10375,Turmeric,Spice,Kharif,Arid,284,34,202,7.3,0.74,Clay,22,15.6,309,243,101,178,230,31.7,31.7,58,5.4,1.09,0.62,0.68,0.024,0.56,0.6,0.59,0.64,0.66,0.68,0.49,0.5,0.26,0.32,168,Rhizome development,Drip,Turmeric,7108,0,Kharif
6599,PB041,26.3,81.71,FLD06599,7107,Turmeric,Spice,Kharif,Arid,231,49,196,6.0,0.51,Sandy,38,16.6,438,406,160,318,384,35.8,35.8,46,5.3,1.09,0.63,0.66,0.018,0.57,0.61,0.63,0.66,0.66,0.66,0.47,0.52,0.3,0.32,150,Grand growth,Drip,Turmeric,4239,0,Kharif
6600,HR033,17.58,87.17,FLD06600,14496,Turmeric,Spice,Kharif,Plateau,219,44,206,6.3,0.88,Sandy Clay,36,10.0,800,643,265,502,552,30.2,30.2,75,5.6,1.09,0.63,0.69,0.024,0.57,0.58,0.6,0.65,0.69,0.69,0.48,0.48,0.26,0.3,145,Mature,Sprinkler,Turmeric,7588,0,Kharif
6601,UP029,19.08,79.73,FLD06601,17472,Ginger,Spice,Kharif,Semi-Arid,299,32,207,6.1,0.83,Clay Loam,31,12.8,630,563,241,345,525,30.2,30.2,68,5.3,1.12,0.64,0.7,0.02,0.6,0.58,0.63,0.67,0.66,0.7,0.5,0.49,0.31,0.33,141,Rhizome development,Drip,Ginger,15056,0,Kharif
6602,HR039,27.89,74.39,FLD06602,9573,Ginger,Spice,Kharif,Semi-Arid,209,40,220,6.3,0.85,Laterite,34,13.0,644,596,246,385,562,30.5,30.5,62,5.8,1.12,0.65,0.7,0.014,0.61,0.6,0.64,0.67,0.7,0.68,0.53,0.53,0.27,0.29,152,Tuber development,Drip,Ginger,8398,0,Kharif
6603,KA044,16.71,87.31,FLD06603,5557,Ginger,Spice,Kharif,Arid,238,32,200,6.0,0.64,Clay Loam,33,20.6,380,356,142,272,316,33.9,33.9,53,5.1,1.12,0.64,0.72,0.028,0.58,0.57,0.63,0.66,0.69,0.72,0.49,0.47,0.31,0.27,163,Tuber bulking,Sprinkler,Ginger,5164,0,Kharif
6604,MH033,11.32,87.07,FLD06604,17898,Ginger,Spice,Kharif,Coastal,189,49,201,7.3,0.97,Clay Loam,27,6.7,2027,1893,692,1268,1699,29.7,29.7,79,6.0,1.12,0.64,0.71,0.02,0.58,0.58,0.64,0.67,0.71,0.68,0.49,0.49,0.34,0.27,167,Bulbing,Drip,Ginger,16241,0,Kharif
6605,UP002,12.05,73.75,FLD06605,17452,Ginger,Spice,Kharif,Semi-Arid,232,45,227,6.0,0.91,Clay,36,17.0,847,685,241,536,629,30.2,30.2,62,6.5,1.12,0.63,0.7,0.028,0.56,0.57,0.6,0.66,0.69,0.7,0.47,0.49,0.32,0.33,155,Grain filling,Sprinkler,Ginger,15440,0,Kharif
6606,RJ027,13.82,72.83,FLD06606,8585,Ginger,Spice,Kharif,Coastal,294,37,208,6.7,0.65,Clay Loam,31,6.6,1168,912,348,602,796,30.7,30.7,73,5.8,1.12,0.63,0.68,0.018,0.59,0.61,0.61,0.63,0.67,0.68,0.5,0.53,0.32,0.24,167,Grain filling,Surface,Ginger,7946,0,Kharif
6607,PB022,18.31,72.4,FLD06607,16185,Ginger,Spice,Kharif,Sub-Humid,272,49,219,7.4,0.82,Clay,25,12.0,1165,1062,418,837,996,29.1,29.1,74,5.1,1.12,0.63,0.68,0.022,0.57,0.57,0.65,0.66,0.66,0.68,0.48,0.49,0.25,0.3,161,Tuber bulking,Surface,Ginger,15258,0,Kharif
6608,MP047,13.6,89.18,FLD06608,5010,Ginger,Spice,Kharif,Plateau,213,41,233,7.3,0.9,Laterite,32,14.6,1040,841,304,646,747,26.5,26.5,70,6.3,1.12,0.64,0.71,0.024,0.59,0.6,0.62,0.64,0.7,0.71,0.49,0.53,0.33,0.3,157,Vegetative,Sprinkler,Ginger,4284,0,Kharif
6609,RJ027,18.98,80.19,FLD06609,18045,Ginger,Spice,Kharif,Arid,221,34,225,5.9,0.57,Clay Loam,35,23.4,407,336,146,265,316,32.4,32.4,52,6.0,1.12,0.63,0.7,0.022,0.56,0.58,0.59,0.69,0.7,0.67,0.47,0.51,0.32,0.28,151,Reproductive,Drip,Ginger,16092,0,Kharif
6610,MP001,11.09,79.72,FLD06610,14402,Ginger,Spice,Kharif,Arid,256,36,216,6.5,0.72,Sandy,31,17.7,270,219,83,167,205,32.2,32.2,51,5.7,1.12,0.64,0.69,0.026,0.56,0.57,0.64,0.68,0.67,0.69,0.46,0.48,0.33,0.28,155,Tuber development,Sprinkler,Ginger,17566,0,Kharif
6611,HR008,29.78,79.27,FLD06611,18735,Ginger,Spice,Kharif,Sub-Humid,213,33,217,5.9,0.81,Loam,27,12.2,1089,823,258,572,775,29.7,29.7,74,6.3,1.12,0.65,0.69,0.018,0.58,0.61,0.64,0.69,0.69,0.67,0.5,0.52,0.29,0.3,169,Nut development,Surface,Ginger,17524,0,Kharif
6612,MP014,24.46,88.76,FLD06612,16474,Ginger,Spice,Kharif,Arid,291,31,194,6.2,0.74,Loam,22,24.5,385,361,119,244,339,32.3,32.3,46,5.3,1.12,0.64,0.72,0.032,0.56,0.59,0.61,0.68,0.66,0.72,0.48,0.49,0.33,0.3,151,Bearing,Drip,Ginger,15461,0,Kharif
6613,KA005,28.89,79.86,FLD06613,10279,Ginger,Spice,Kharif,Plateau,182,42,194,7.1,0.77,Laterite,36,13.4,651,534,170,369,506,30.1,30.1,66,5.8,1.12,0.66,0.72,0.022,0.61,0.61,0.64,0.66,0.71,0.72,0.51,0.53,0.24,0.32,152,Flowering,Drip,Ginger,9113,0,Kharif
6614,RJ004,26.98,89.77,FLD06614,12138,Ginger,Spice,Kharif,Humid,312,41,183,7.1,0.58,Loam,22,6.2,2734,2253,932,1750,2073,27.3,27.3,84,5.1,1.12,0.64,0.67,0.014,0.6,0.62,0.62,0.65,0.67,0.67,0.52,0.53,0.32,0.31,152,Grand growth,Surface,Ginger,11197,0,Kharif
6615,HR021,22.81,74.32,FLD06615,7246,Ginger,Spice,Kharif,Semi-Arid,223,52,222,5.9,0.84,Laterite,31,16.5,538,496,179,381,422,31.9,31.9,66,6.3,1.12,0.65,0.71,0.018,0.6,0.6,0.65,0.65,0.71,0.69,0.5,0.52,0.25,0.27,146,Grand growth,Drip,Ginger,7073,0,Kharif
6616,PB040,30.86,91.38,FLD06616,15875,Ginger,Spice,Kharif,Mountain,223,33,227,7.3,0.87,Sandy Clay,36,10.4,2173,1645,662,1022,1478,22.0,22.0,69,5.9,1.12,0.63,0.71,0.02,0.61,0.56,0.6,0.64,0.68,0.71,0.53,0.48,0.33,0.32,141,Fruiting,Surface,Ginger,13408,0,Kharif
6617,HR002,19.12,77.44,FLD06617,17135,Ginger,Spice,Kharif,Sub-Humid,204,42,225,5.8,0.92,Clay,34,12.8,1132,902,288,552,832,29.7,29.7,72,5.6,1.12,0.64,0.71,0.028,0.57,0.56,0.6,0.67,0.71,0.71,0.48,0.48,0.28,0.32,152,Grand growth,Surface,Ginger,15391,0,Kharif
6618,MH004,10.06,80.39,FLD06618,13047,Ginger,Spice,Kharif,Humid,262,40,181,6.6,0.77,Clay,28,8.5,1636,1276,489,866,1151,28.2,28.2,75,5.4,1.12,0.65,0.71,0.02,0.61,0.6,0.64,0.68,0.66,0.71,0.52,0.5,0.3,0.25,162,Tuber bulking,Drip,Ginger,13170,0,Kharif
6619,PB033,29.71,74.66,FLD06619,9670,Ginger,Spice,Kharif,Humid,284,45,224,7.0,0.52,Clay,33,8.7,1408,1144,465,886,1015,26.0,26.0,78,5.1,1.12,0.64,0.7,0.022,0.59,0.61,0.6,0.67,0.68,0.7,0.49,0.51,0.34,0.26,162,Grain filling,Drip,Ginger,8883,0,Kharif
6620,HR030,12.41,78.69,FLD06620,14029,Ginger,Spice,Kharif,Arid,304,44,194,6.1,0.62,Sandy Clay,35,19.0,425,370,143,277,337,30.3,30.3,55,6.0,1.12,0.63,0.67,0.018,0.58,0.57,0.62,0.66,0.66,0.67,0.49,0.49,0.32,0.33,157,Nut development,Sprinkler,Ginger,13098,0,Kharif
6621,AP023,22.56,82.97,FLD06621,15852,Ginger,Spice,Kharif,Plateau,310,51,230,6.9,0.71,Clay Loam,34,10.9,690,572,181,453,510,29.3,29.3,74,6.1,1.12,0.64,0.69,0.024,0.57,0.58,0.63,0.68,0.69,0.69,0.49,0.51,0.34,0.34,154,Rhizome development,Drip,Ginger,15893,0,Kharif
6622,GJ028,22.23,78.26,FLD06622,13925,Ginger,Spice,Kharif,Sub-Humid,290,44,240,7.8,0.96,Sandy Loam,26,10.4,854,743,244,464,661,28.8,28.8,74,6.0,1.12,0.64,0.7,0.016,0.61,0.57,0.61,0.65,0.7,0.69,0.53,0.49,0.3,0.26,168,Tuber bulking,Drip,Ginger,13170,0,Kharif
6623,PB034,13.39,75.6,FLD06623,19120,Ginger,Spice,Kharif,Semi-Arid,306,29,216,5.9,0.71,Clay,29,14.0,816,632,236,401,554,29.8,29.8,67,5.5,1.12,0.63,0.67,0.012,0.61,0.56,0.63,0.65,0.66,0.67,0.53,0.47,0.24,0.26,163,Pod formation,Drip,Ginger,16754,0,Kharif
6624,AP015,17.84,83.13,FLD06624,9925,Ginger,Spice,Kharif,Arid,196,41,198,6.7,0.64,Loam,26,15.5,472,356,150,268,316,34.1,34.1,53,5.3,1.12,0.65,0.71,0.026,0.58,0.59,0.62,0.69,0.71,0.71,0.51,0.5,0.33,0.29,146,Rhizome development,Sprinkler,Ginger,9108,0,Kharif
6625,PB002,30.04,82.84,FLD06625,6542,Ginger,Spice,Kharif,Mountain,256,52,170,7.4,0.65,Sandy,21,13.4,1107,851,350,625,752,18.0,18.0,71,6.5,1.12,0.63,0.67,0.018,0.58,0.62,0.59,0.66,0.67,0.67,0.51,0.53,0.3,0.33,140,Pod formation,Sprinkler,Ginger,5805,0,Kharif
6626,HR022,33.78,77.63,FLD06626,19799,Ginger,Spice,Kharif,Mountain,278,33,198,6.4,0.86,Laterite,25,13.5,1460,1140,503,795,984,23.0,23.0,71,6.1,1.12,0.64,0.7,0.016,0.62,0.6,0.62,0.65,0.66,0.7,0.54,0.51,0.27,0.28,143,Bearing,Drip,Ginger,18013,0,Kharif
6627,GJ050,18.6,69.83,FLD06627,13853,Ginger,Spice,Kharif,Coastal,267,44,186,7.3,0.52,Clay Loam,28,9.6,2754,2581,1012,1892,2348,29.0,29.0,79,6.1,1.12,0.64,0.71,0.02,0.58,0.6,0.63,0.65,0.71,0.68,0.48,0.5,0.34,0.28,169,Nut development,Drip,Ginger,13215,0,Kharif
6628,TN040,25.39,75.62,FLD06628,12387,Ginger,Spice,Kharif,Semi-Arid,208,52,210,6.2,0.52,Sandy Loam,29,11.6,621,534,238,345,457,29.1,29.1,62,5.1,1.12,0.64,0.69,0.02,0.59,0.61,0.6,0.64,0.68,0.69,0.49,0.51,0.25,0.27,145,Flowering,Drip,Ginger,11897,0,Kharif
6629,PB014,26.38,89.73,FLD06629,9253,Ginger,Spice,Kharif,Semi-Arid,295,30,231,7.4,0.93,Loam,32,15.6,812,691,227,544,615,29.7,29.7,60,5.4,1.12,0.63,0.71,0.026,0.58,0.58,0.6,0.66,0.67,0.71,0.5,0.49,0.32,0.31,155,Boll formation,Drip,Ginger,7902,0,Kharif
6630,UP002,24.35,83.22,FLD06630,16811,Ginger,Spice,Kharif,Sub-Humid,201,30,183,7.0,0.81,Laterite,27,11.0,866,807,311,614,737,29.0,29.0,71,6.0,1.12,0.64,0.69,0.02,0.57,0.58,0.63,0.67,0.69,0.67,0.48,0.5,0.28,0.26,167,Nut development,Surface,Ginger,14489,0,Kharif
6631,RJ043,18.56,72.69,FLD06631,9810,Ginger,Spice,Kharif,Semi-Arid,288,30,220,7.2,0.73,Sandy,24,14.0,638,574,198,436,490,31.7,31.7,61,6.0,1.12,0.64,0.7,0.02,0.6,0.61,0.6,0.64,0.66,0.7,0.52,0.5,0.29,0.33,169,Boll formation,Drip,Ginger,8459,0,Kharif
6632,RJ029,28.26,75.81,FLD06632,15805,Ginger,Spice,Kharif,Plateau,214,32,213,6.1,0.83,Sandy,36,11.9,935,840,320,528,751,31.2,31.2,67,6.1,1.12,0.63,0.69,0.02,0.59,0.59,0.6,0.65,0.69,0.69,0.51,0.51,0.26,0.34,144,Grand growth,Sprinkler,Ginger,14455,0,Kharif
6633,AP038,20.96,74.28,FLD06633,9516,Ginger,Spice,Kharif,Arid,258,46,177,7.7,0.92,Laterite,20,15.0,316,243,78,158,228,31.9,31.9,51,5.9,1.12,0.63,0.7,0.024,0.58,0.58,0.6,0.65,0.68,0.7,0.49,0.5,0.26,0.27,162,Mature,Sprinkler,Ginger,10952,0,Kharif
6634,TN042,10.39,85.17,FLD06634,16183,Ginger,Spice,Kharif,Plateau,190,31,170,6.8,0.96,Clay Loam,38,13.0,889,819,325,624,700,26.6,26.6,75,5.7,1.12,0.63,0.7,0.024,0.58,0.59,0.61,0.64,0.67,0.7,0.5,0.51,0.34,0.33,140,Tuber development,Surface,Ginger,13378,0,Kharif
6635,UP010,26.7,85.93,FLD06635,18309,Ginger,Spice,Kharif,Humid,206,32,239,7.3,0.9,Sandy Loam,34,9.6,2540,1983,859,1300,1854,26.5,26.5,76,5.0,1.12,0.65,0.71,0.024,0.59,0.59,0.63,0.69,0.7,0.71,0.49,0.52,0.33,0.29,167,Grain filling,Surface,Ginger,16219,0,Kharif
6636,TN008,18.94,79.64,FLD06636,14380,Ginger,Spice,Kharif,Semi-Arid,218,34,233,6.4,0.5,Loam,24,10.7,793,655,259,409,581,29.3,29.3,64,5.2,1.12,0.63,0.67,0.018,0.57,0.59,0.64,0.67,0.66,0.66,0.48,0.52,0.3,0.27,143,Bearing,Drip,Ginger,11679,0,Kharif
6637,KA017,19.13,70.95,FLD06637,14673,Ginger,Spice,Kharif,Semi-Arid,303,38,226,6.9,0.96,Sandy,35,15.3,611,494,166,349,420,28.2,28.2,57,5.3,1.12,0.64,0.68,0.012,0.61,0.62,0.6,0.66,0.68,0.67,0.5,0.53,0.3,0.27,153,Tuber bulking,Drip,Ginger,13095,0,Kharif
6638,UP032,10.03,70.44,FLD06638,16402,Ginger,Spice,Kharif,Humid,187,35,227,5.9,0.72,Clay,34,7.1,1805,1488,480,980,1293,28.6,28.6,86,5.0,1.12,0.65,0.7,0.018,0.61,0.62,0.61,0.65,0.7,0.7,0.52,0.53,0.25,0.32,155,Grand growth,Drip,Ginger,14194,0,Kharif
6639,PB046,33.49,88.11,FLD06639,15353,Ginger,Spice,Kharif,Mountain,303,43,202,6.9,0.83,Sandy Clay,23,12.3,1622,1313,482,908,1173,17.3,17.3,64,6.0,1.12,0.63,0.67,0.016,0.59,0.59,0.64,0.65,0.66,0.67,0.49,0.51,0.27,0.26,140,Fruiting,Sprinkler,Ginger,14314,0,Kharif
6640,UP039,17.82,85.16,FLD06640,14345,Ginger,Spice,Kharif,Humid,258,29,235,5.8,0.88,Clay,24,9.5,3074,2889,1113,1835,2456,26.3,26.3,85,5.3,1.12,0.65,0.71,0.014,0.6,0.58,0.64,0.67,0.71,0.67,0.49,0.49,0.25,0.27,164,Rhizome development,Surface,Ginger,12820,0,Kharif
6641,RJ048,26.49,90.69,FLD06641,17020,Ginger,Spice,Kharif,Mountain,188,28,186,7.1,0.54,Clay Loam,25,13.0,2376,2104,821,1437,1868,20.7,20.7,64,5.6,1.12,0.63,0.7,0.022,0.59,0.59,0.6,0.64,0.68,0.7,0.49,0.48,0.27,0.25,163,Mature,Surface,Ginger,13896,0,Kharif
6642,PB026,32.99,90.68,FLD06642,14711,Ginger,Spice,Kharif,Mountain,318,47,185,6.3,0.53,Laterite,38,14.3,1057,955,319,749,872,22.2,22.2,65,5.7,1.12,0.64,0.69,0.018,0.6,0.57,0.63,0.65,0.68,0.69,0.51,0.49,0.33,0.26,157,Mature,Sprinkler,Ginger,13039,0,Kharif
